Under five mortality,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
France,412.34,407.24,400.95,395.95,390.99,384.88,379.99,367.66,355.73,344.18,333.01,322.21,311.75,301.63,291.84,282.37,273.21,283.46,293.69,312.23,284.84,287.32,309.36,289.22,305.64,305.66,303.66,284.46,312.83,284.31,282.91,283.54,297.95,286.52,338.03,277.27,259.08,274.1,286.52,268.01,260.74,262.52,270.09,268.87,251.89,236.87,271.56,258.15,264.83,301.09,238.14,262.06,265.08,244.45,298,278.66,268.57,285.45,282.45,347.28,243.26,291.09,258.3,275.21,264.87,283.25,253.28,263.45,288.41,273.62,300.31,343.93,254.87,266.96,241.74,245.72,240.4,237.05,249.49,235.4,257,244.14,248.36,247.89,259.99,240.22,250.02,242.63,241.77,229.48,250.64,235.51,250.17,249,226.33,228.19,203.2,206.97,228.46,234.25,223.98,206.61,196.56,194.43,201.66,190.65,200.04,183.96,181.58,167.46,159.62,202.98,155.44,160.86,152.54,162.68,160.49,176.27,215.14,171.98,161.79,149.15,114.06,127.86,113.05,120.82,126.76,111.05,118.75,121.73,101.93,97.17,98.26,92.51,89.76,84.06,84.24,81.6,81.05,77.27,103.68,84.32,86.15,89.92,93,120.29,85.57,72.49,56.81,61,57.1,53.4,49.7,46.3,43.1,40.2,37.4,34.8,32.4,30.3,28.5,27,25.7,24.5,23.4,22.3,21.4,20.6,19.9,19.1,18.2,17.4,16.6,15.9,15.4,15,14.5,13.9,13.3,12.8,12.4,11.9,11.5,11.1,10.7,10.3,10,9.8,9.6,9.3,9,8.6,8.1,7.6,7,6.5,6.1,5.8,5.6,5.5,5.4,5.3,5.1,4.9,4.7,4.6,4.5,4.4,4.3,4.3,4.3,4.3,4.3,4.4,4.4,4.3
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.99,44.07,41.21,38.58,36.24,34.25,32.57,31.08,29.71,28.41,27.17,25.99,24.88,23.83,22.85,21.92,21.03,20.17,19.33,18.52,17.71,16.9,16.1,15.31,14.55,13.83,13.17,12.6,12.11,11.72,11.41,11.2,11.05,10.95,10.86,10.78
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.95,44.96,40.04,35.41,31.24,27.71,24.94,22.9,21.47,20.56,19.97,19.47,18.85,17.99,16.83,15.44,13.97,12.61,11.51,10.74,10.27,10.08,10.03,10.03,10.02,9.96,9.82,9.61,9.34,9.01,8.64,8.24,7.84,7.46,7.11,6.8
Gabon,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.78,435.75,435.68,435.57,435.39,435.16,434.85,434.47,434.03,433.52,432.94,432.29,431.58,430.79,429.94,429.03,428.08,427.09,426.08,425.05,424.03,423.01,421.99,420.96,419.94,418.92,417.9,416.87,415.85,414.83,413.81,412.78,411.76,410.74,409.72,408.69,407.67,406.65,405.62,404.6,403.58,402.56,401.53,400.51,399.49,398.55,397.6,396.66,395.72,394.78,393.82,392.88,378.94,366.51,353.27,340.37,327.78,324.9,317.86,311.55,305.92,299.95,294.67,289.06,283.11,277.28,271.47,265.72,258.26,250.87,241.9,233.06,222.77,212.7,203.93,194.25,185.03,176.25,167.88,159.92,152.33,145.1,138.21,131.65,125.4,121.1,116.8,112.7,108.8,105.4,102.3,99.6,97.4,95.7,94.2,93.1,92.2,91.3,90.4,89.5,88.6,87.8,87,86.2,85.4,84.6,83.6,82.3,80.8,79.2,77.3,75.3,73.2,70.7,68,65.5,63,60.5,57.9,56.1,53.9,52.2
Gambia,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.19,460.16,460.09,459.97,459.79,459.53,459.21,458.81,458.35,457.81,457.19,456.51,455.75,454.93,454.03,453.07,452.06,451.01,449.95,448.87,447.79,446.71,445.63,444.52,443.41,442.3,441.19,440.07,438.96,437.85,436.74,435.63,434.52,433.41,432.3,431.19,430.09,428.98,427.87,426.76,425.65,424.54,423.43,422.32,421.22,420.11,419,417.89,416.78,415.68,414.57,413.46,409.85,407.71,405.57,403.45,401.34,399.24,397.15,395.07,393,390.95,388.9,382.1,375.5,368.6,362.4,356.3,350.3,344.1,338.3,332.4,326.5,320.5,314.6,308.8,302.6,296.4,290,283.5,276.9,270.4,263.9,257.5,251.2,244.9,238.5,231.9,225.3,218.3,211.2,204,196.8,189.9,183.1,176.6,170.2,164.2,158.5,152.9,147.5,142.4,137.4,132.5,127.9,123.2,118.8,114.5,110.2,106,101.9,97.9,94.2,90.6,87.4,84.3,81.4,78.6,76.1,73.6,71.1,68.9
Georgia,396.8,395.97,395.14,394.32,393.49,392.67,391.85,391.03,390.21,389.39,388.58,387.77,386.96,386.15,385.34,384.54,383.73,382.93,382.13,381.33,380.53,379.74,378.94,378.15,377.36,376.57,375.78,375,374.21,373.43,372.65,371.87,371.09,370.32,369.54,368.77,368,367.23,366.46,365.69,364.93,364.17,363.41,362.65,361.89,361.13,360.38,359.62,358.87,358.12,357.37,356.62,355.88,355.13,354.39,353.65,352.91,352.17,351.44,350.7,349.97,349.24,348.51,347.78,347.05,346.32,345.6,344.88,344.16,343.44,342.72,342,341.29,340.57,339.86,339.15,338.44,337.73,337.03,336.32,335.62,334.92,334.22,333.52,332.82,332.13,331.43,330.74,330.05,329.36,328.67,327.98,327.3,326.61,325.93,325.25,324.57,323.89,323.21,322.53,321.86,318.7,315.58,312.48,309.42,306.38,303.38,300.41,297.46,294.54,291.65,288.79,285.96,283.16,280.38,277.63,274.91,272.21,269.54,266.9,264.28,261.69,259.12,256.58,254.07,251.58,249.11,246.67,244.25,241.85,239.48,231.74,224.26,217.01,210,203.22,196.69,190.37,184.25,178.33,172.6,167.05,161.69,156.49,151.46,146.6,141.89,137.33,132.92,128.65,124.51,122.84,119.87,116.76,113.56,110.26,106.86,103.41,99.87,96.4,92.43,90.61,88.83,87.08,85.37,83.69,82.04,80.42,78.84,77.29,75.77,74.28,72.82,71.38,69.98,68.6,66.3,64.3,62.3,60.2,58.3,56.5,54.7,53.2,51.8,50.7,49.8,49.1,48.6,48.1,47.7,47.2,46.6,46,45.2,44.3,43,41.5,39.8,37.8,35.7,33.4,31.1,28.9,26.7,24.6,22.7,20.9,19.3,17.9,16.6,15.5,14.4,13.4,12.6,11.9
Germany,340.25,340.25,340.25,340.25,340.25,340.25,340.25,340.25,340.25,340.25,340.25,340.25,340.25,340.25,340.25,340.25,340.25,340.25,340.25,340.25,340.25,340.25,340.25,340.25,340.25,340.25,340.25,351.73,363.61,375.88,388.56,401.68,415.24,429.25,443.74,458.72,474.2,490.44,482.32,462.84,485.57,487.2,516.43,466.08,466.08,469.33,516.43,464.46,506.68,462.84,482.32,466.08,483.95,462.84,472.58,462.84,410.94,498.56,469.33,526.17,422.24,441.88,462.44,483.95,482.32,539.16,488.82,506.68,498.56,475.83,483.95,535.92,488.82,498.56,482.32,393.18,370.54,365.73,367.32,354.43,389.96,364.1,370.54,377.02,381.88,367.32,381.88,352.81,354.43,367.32,367.32,356.05,373.78,364.1,356.05,373.78,338.26,360.86,341.52,351.19,372.17,336.63,297.52,331.76,318.75,333.4,300.8,286.02,289.32,276.23,263.54,312.26,236.99,244.31,266.83,238.82,224.05,240.65,256.73,233.32,207.23,212.85,205.35,207.23,164.08,158.51,152.95,143.79,129.42,143.8,122.39,118.93,112.04,108.64,90.45,147.53,90.47,87.26,81.29,100.28,87.29,84.24,81.3,78.46,75.71,73.07,70.52,68.05,65.68,63.38,61.17,59.03,56.97,54.98,53.06,51.21,49.42,47.69,46.03,44.42,42.87,40.6,38.45,36.42,34.49,32.67,30.94,29.31,27.2,26.4,25.7,24.9,24,23.1,22,20.8,19.5,18.3,17.1,16,15,14.1,13.2,12.5,11.8,11.1,10.6,10.1,9.5,9,8.5,8,7.6,7.2,6.8,6.5,6.2,5.9,5.7,5.5,5.4,5.2,5.1,5,4.9,4.7,4.6,4.5,4.4,4.3,4.2,4.1,4,3.9,3.8,3.7
Ghana,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,470.76,470.11,469.46,468.75,468.01,467.21,466.33,465.38,464.35,463.25,462.09,460.85,459.54,458.16,456.71,455.19,453.61,451.99,450.33,448.66,446.97,445.29,443.61,441.93,440.26,438.59,436.91,435.25,433.59,431.93,430.27,428.62,426.97,419.03,411.13,402.22,394.6,387.15,379.77,371.4,364.1,357.3,350.4,344,337.6,331.4,324.7,318.1,311.5,305.1,298.6,292.5,286.5,280.7,274.9,269,262.9,256.7,250.8,244.9,239.5,234.4,229.5,225,220.9,217.3,213.9,210.9,208.6,206.7,205,203.8,203.1,202.9,202.7,202.8,202.5,201.9,200.7,198.5,195.3,191,185.9,180.7,175.8,171.6,168.4,166.2,164.6,163.1,161.3,158.5,154.6,149.7,144.1,138.2,132.6,127.4,123.1,119.7,117.1,115.1,113.4,111.6,109.5,106.9,104,100.7,97.3,94.2,91.3,88.7,86.5,84.4,82.2,79.9,77.4,74.7,71.9,69.2,66.5,64,61.6
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,360.97,359.8,358.63,357.45,356.28,355.13,353.98,352.82,350.52,349.37,348.22,345.92,344.77,342.51,341.38,339.12,336.86,334.59,333.44,331.17,328.87,326.53,324.14,321.7,319.25,316.76,314.22,312.72,310.1,308.5,305.83,302.07,299.33,295.52,291.75,260.4,232.41,207.44,185.15,165.24,147.48,131.63,117.48,104.85,93.58,117.13,134.73,145.55,131.14,105.15,149.2,138.28,169.58,147.34,212.71,192.07,192.07,171.41,173.29,175.15,190.16,147.29,182.63,145.45,130.25,116.65,104.46,93.55,83.78,75.03,67.19,60.17,53.88,44.05,56.78,62.68,58.25,63.1,59.8,59.6,59.1,58.3,57.1,55.8,54.3,52.7,51.1,49.4,47.7,46.2,44.6,42.7,40.1,37.5,35.4,34.1,33.2,32.4,31.4,30.1,28.6,26.8,25.1,23.4,21.9,20.6,19.5,18.4,17.4,16.4,15.3,14.3,13.3,12.5,11.9,11.4,10.9,10.5,10.1,9.7,9.3,8.8,8.3,7.8,7.3,6.8,6.3,5.9,5.5,5.2,5,4.9,4.8,4.7,4.6,4.5,4.3,4.2,4.1
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,472.32,468.86,465.43,462.02,458.63,455.27,451.94,448.63,445.34,442.08,438.84,435.63,432.44,429.27,426.13,423.01,419.91,416.83,413.78,410.75,407.74,404.75,401.79,398.85,395.93,393.03,390.15,387.29,384.45,381.64,378.84,376.07,373.31,370.58,367.86,365.17,362.5,359.84,357.2,354.59,351.99,349.41,346.85,344.31,341.79,339.29,336.8,334.34,331.89,329.46,327.04,324.65,322.27,319.91,317.57,315.24,312.93,310.64,308.37,306.11,303.86,301.64,299.43,297.24,295.06,292.9,290.75,288.62,286.51,284.41,282.33,280.26,278.21,276.17,274.15,272.14,270.15,268.17,266.2,264.25,262.32,260.4,258.49,256.6,254.72,252.85,251,249.16,247.34,245.52,243.73,241.94,240.17,238.41,236.66,234.93,233.21,231.5,229.81,228.12,226.45,224.79,223.15,221.51,219.89,218.28,216.68,215.09,213.52,211.95,210.4,208.86,207.33,205.81,204.31,202.81,201.32,199.85,198.39,196.93,195.49,194.06,192.64,191.23,189.83,188.43,187.05,185.68,184.32,182.97,181.63,180.3,178.98,177.67,176.37,175.08,173.8,172.52,171.26,170.01,168.76,167.52,166.3,165.08,163.87,162.94,162.01,161.09,160.17,159.26,158.35,155.96,151.35,147.36,142.5,138.25,133.89,129.42,124.86,121.07,116.68,113.01,109.38,105.81,102.28,98.79,95.35,92.5,89.25,86.71,84.31,81.52,79.4,77.41,75.9,68.58,61.96,55.98,50.57,45.69,40.19,38.72,37.31,35.95,27.5,27,26.5,25.9,25.2,24.3,23.3,22.3,21.2,20.2,19.3,18.5,17.9,17.3,16.8,16.4,16,15.6,15.2,14.9,14.5,14.2,14,13.7,13.5,13.4,13.2,13,12.7,12.5,12.2,11.8
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.93,29.38,27.91,26.51,25.19,23.94,22.75,21.62,20.55,19.54,18.58,17.66,16.8,15.98,15.2,14.47,13.76,13.1,12.47,11.87,11.29,10.75,10.23,9.73,9.26,8.82,8.41,8.03,7.68,7.37,7.07,6.79,6.53,6.27,6.02,5.77
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.03,36.58,35.22,33.93,32.72,31.58,30.51,29.49,28.52,27.6,26.69,25.79,24.89,23.99,23.08,22.16,21.22,20.29,19.37,18.47,17.61,16.81,16.08,15.41,14.82,14.28,13.8,13.36,12.94,12.54,12.15,11.76,11.39,11.03,10.69,10.36
Guatemala,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.35,503.31,503.23,503.1,502.9,502.63,502.27,501.84,501.33,500.74,500.07,499.32,498.49,497.59,496.6,495.55,494.45,493.31,492.14,490.96,489.78,488.6,487.42,486.23,484.81,483.39,481.97,480.56,479.14,477.72,476.31,474.89,473.48,472.07,470.66,469.25,467.85,466.44,465.04,463.63,462.22,450.01,439.37,427.65,417.48,406.28,395.32,381.06,367.19,353.7,340.57,327.78,315.31,303.17,295.21,287.45,279.9,272.54,265.38,258.41,251.62,245.01,238.57,232.3,227.6,223,218.5,214.1,209.9,205.7,201.5,197.1,192.8,188.3,183.8,179,174.1,169,164,159,154,149,144.1,139.2,134.4,129.6,124.8,120.1,115.5,110.9,106.5,102,97.6,93.3,89,84.9,80.9,77,73.3,69.7,66.4,63.3,60.4,57.7,55.1,52.8,50.6,48.6,46.6,44.8,43.1,41.4,39.9,38.4,36.9,35.7,34.5,33.3,32.1,31.1,30.1,29.1
Guernsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,450.6,450.6,450.6,450.6,450.6,449.24,449.24,449.24,449.24,449.24,449.24,449.24,449.24,449.24,449.24,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,445.15,443.79,443.79,443.79,443.79,443.79,443.79,443.79,443.79,443.79,443.79,442.46,442.46,442.46,442.46,442.46,442.46,442.46,442.46,442.46,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,438.46,438.46,438.46,438.46,438.46,438.46,438.46,438.46,438.46,437.13,437.13,437.11,437.08,437.01,436.9,435.64,434.31,432.91,431.45,428.61,427.02,425.37,423.65,421.88,420.03,418.13,416.17,414.18,412.16,408.86,406.82,404.79,402.76,400.74,398.72,396.7,394.7,392.69,389.49,387.51,385.52,383.54,381.57,379.6,377.65,375.69,373.73,371.79,368.71,366.77,364.85,362.93,361.01,359.1,357.2,358.1,358.5,359.1,359.6,360.1,360.6,360.9,361.6,362,362.6,362.7,363,363.1,362.8,362.8,362.7,362.1,361.2,360,358.9,357.1,355.3,353.3,351.3,349,346.8,344.3,341.9,339,336.2,333.3,330.2,327.2,324.1,320.8,317.5,313.9,310.1,305.9,301.4,296.7,291.9,286.9,282.2,277.4,272.6,267.8,263.1,258.4,253.6,248.8,243.7,238.2,232.4,226.2,219.7,212.9,205.9,199,192,184.8,177.5,170.2,162.9,155.8,149,142.7,136.7,131.2,125.9,121,116.3,111.9,107.7,104,100.4,97,93.7
Guinea-Bissau,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.42,417.39,417.33,417.22,417.05,416.83,416.53,416.17,415.75,415.26,414.7,414.08,413.4,412.65,411.83,410.96,410.05,409.1,408.13,407.15,406.17,405.19,404.21,403.23,402.25,401.27,400.29,399.31,398.33,397.35,396.38,395.4,394.42,393.44,392.46,391.48,390.5,385.95,380.23,375.73,370.15,365.76,361.38,355.97,351.7,347.45,342.18,335.65,329.25,322.97,316.81,310.76,304.83,299.01,293.31,287.71,282.22,281.93,281.73,281.54,281.45,281.35,280.86,280.47,279.89,279.3,278.72,277.94,276.97,275.91,274.26,273.1,271.95,270.7,269.07,267.44,265.53,263.52,261.33,259.34,257.16,254.88,252.62,250.26,247.82,244.91,241.91,237.81,233.94,230.29,226.82,223.51,246.7,242.2,237.5,233.3,229.3,224.9,220.3,215.5,210.4,205.5,200.1,194.6,188.9,183.3,177.5,171.5,165.3,159,152.6,146.2,139.9,133.6,127.6,121.6,115.9,110.4,105.2,100.5,96.2,92.5
Guyana,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,429.16,418.46,408.03,397.85,387.93,378.26,368.83,359.63,350.67,341.93,333.4,326.89,304.08,326.89,415.74,321.99,339.88,385.66,379.54,318.17,302.49,289.91,316.92,330.41,349.27,394.78,330.59,264.84,354.82,341.36,327.55,308.33,291.31,301.97,302.49,357.4,281.74,284.06,270.61,272.81,309.05,340.81,239.34,236.45,240.7,347.6,242,204.74,158.87,190.78,301.99,291.66,204.97,172.02,168.42,168.56,165.3,157.7,150.2,143,135.9,128.8,121.8,115.2,108.9,103.2,98,93.3,89.2,85.7,82.8,80.4,78.5,77,75.9,74.9,74.3,73.9,73.6,73.4,73.2,73,72.7,72.4,72,71.5,71,70.4,69.8,69.2,68.5,67.7,66.8,65.8,64.7,63.3,61.9,60.4,58.8,57.2,55.6,54.1,52.7,51.4,50.2,49,47.8,46.7,45.6,44.8,44,43.4,42.8,42.4,42.1,41.9,41.7,41.5,41.4,41.2,40.8,40.2,39.4
Haiti,486.4,486.39,486.38,486.37,486.36,486.35,486.34,486.33,486.32,486.3,486.29,486.28,486.27,486.26,486.25,486.24,486.23,486.22,486.21,486.2,486.19,486.18,486.17,486.16,486.15,486.13,486.12,486.11,486.1,486.09,486.08,486.07,486.06,486.05,486.04,486.03,486.02,486.01,486,485.99,485.98,485.97,485.95,485.94,485.93,485.92,485.91,485.9,485.89,485.88,485.87,485.86,485.85,485.84,485.83,485.82,485.81,485.8,485.78,485.77,485.76,485.75,485.74,485.73,485.72,485.71,485.7,485.69,485.68,485.67,485.66,485.65,485.64,485.63,485.62,485.6,485.59,485.58,485.57,485.56,485.55,485.54,485.53,485.52,485.51,485.5,485.49,485.48,485.47,485.46,485.45,485.44,485.42,485.41,485.4,485.39,485.38,485.37,485.36,485.35,485.34,484.3,483.26,482.22,481.18,480.15,479.12,478.09,477.06,476.03,475.01,473.99,472.97,471.96,470.94,469.93,468.92,467.46,466,464.55,463.1,461.65,460.21,458.77,457.34,455.91,454.49,453.07,451.65,450.24,448.83,442.59,436.45,430.38,424.4,418.51,412.69,406.96,401.3,395.73,390.23,384.81,379.46,374.18,368.98,363.85,358.79,353.8,348.88,344.03,339.25,334.53,329.88,325.29,320.76,316.3,311.9,306.7,301.4,296.3,291.4,286.6,281.9,277.3,273,268.5,263.9,259.2,254.6,249.9,245.1,240.1,234.8,229.4,224,218.4,213,207.5,202.2,196.9,191.9,186.9,181.9,177,172.2,167.6,163,158.5,154.2,150,145.8,141.7,137.6,133.3,129.1,124.9,120.7,116.5,112.4,108.5,104.8,101.3,98.1,95.1,92.4,90,87.7,85.5,83.3,81.2,208.8,77.2,75.2,73.1,71,69
Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
